guarda,ordem,alpha,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
56.0,0.9,1.6,5531,31189,356,0.15062636165577342,0.9395277730592831,0.25962869950947026,528,36720,5887,6.24
56.0,0.9,2.0,5530,31189,357,0.15060322993545575,0.93935790725327,0.2595878514763179,528,36719,5887,6.24
56.0,0.9,2.5,5497,30584,390,0.15235165322468888,0.9337523356548327,0.26196149447197864,528,36081,5887,6.13
56.0,0.9,3.0,5437,29697,450,0.15475038424318324,0.9235603872940377,0.2650837375978158,528,35134,5887,5.97
56.0,0.9,4.0,5322,28809,565,0.15592862793355014,0.904025819602514,0.2659803088610125,528,34131,5887,5.8
56.0,0.9,6.0,5211,28325,676,0.1553852576335878,0.8851707151350433,0.2643634426603759,528,33536,5887,5.7
56.0,0.98,1.0,5512,31228,375,0.15002721829069135,0.9363003227450314,0.2586154315340043,528,36740,5887,6.24
56.0,0.98,1.3,5383,27300,504,0.16470336260441207,0.9143876337693222,0.2791288566243194,528,32683,5887,5.55
56.0,0.98,1.6,5033,23729,854,0.17498783116612196,0.8549346016646849,0.29051343473116104,528,28762,5887,4.89
56.0,0.98,2.0,4504,20048,1383,0.1834473769957641,0.7650755902836759,0.2959361345642104,528,24552,5887,4.17
56.0,0.98,2.5,4055,17825,1832,0.1853290676416819,0.6888058433837269,0.2920733244498866,528,21880,5887,3.72
56.0,0.98,3.0,3728,16775,2159,0.1818270497000439,0.6332597248173942,0.28253126184160665,528,20503,5887,3.48
56.0,0.98,4.0,3340,15696,2547,0.17545702878756042,0.5673517920842535,0.26802551859727963,528,19036,5887,3.23
56.0,0.98,6.0,3111,14865,2776,0.173064085447263,0.5284525225072193,0.26073838159493773,528,17976,5887,3.05
